total_calories,output_calories
149.0,152.5364
59.0,74.76812
75.0,64.867874
307.0,257.62582
229.0,221.6985
167.0,183.89375
417.0,387.3099
156.0,156.3421
99.0,94.468445
287.0,300.8024
138.0,133.20778
170.0,168.3997
57.0,60.102615
552.0,480.4747
110.0,98.27087
489.0,473.92932
339.0,321.9842
149.0,147.31541
64.0,82.72235
73.0,71.44094
424.0,401.38174
116.0,134.84236
74.0,77.62335
34.0,45.288967
27.0,22.822306
336.0,362.32498
243.0,284.00662
20.0,48.59621
242.0,249.02565
308.0,316.33365
170.0,210.94542
202.0,189.37834
194.0,203.12706
39.0,42.458385
47.0,44.570652
275.0,309.89682
371.0,471.5093
308.0,321.11154
334.0,304.11185
414.0,459.00375
230.0,223.11519
270.0,280.142
61.0,68.38511
10.0,8.394239
82.0,95.50899
61.0,63.070698
64.0,70.78256
74.0,73.675476
287.0,253.31471
320.0,340.4105
44.0,49.979435
753.0,721.3313
325.0,298.65726
286.0,253.16785
153.0,140.06801
39.0,44.312656
50.0,53.372116
108.0,98.46817
108.0,105.2067
77.0,96.881096
23.0,21.25162
190.0,172.13437
222.0,210.49348
320.0,311.45462
248.0,201.08241
144.0,195.18167
244.0,250.06285
132.0,150.717
87.0,96.276375
294.0,297.97012
215.0,242.1986
697.0,702.2369
67.0,58.0029
487.0,480.3368
108.0,98.17208
308.0,287.54257
138.0,147.5901
368.0,345.66296
107.0,107.501526
264.0,257.77063
472.0,412.20038
36.0,47.807945
154.0,140.43593
7.0,11.062308
324.0,441.1391
180.0,187.67558
57.0,83.900276
231.0,230.03816
457.0,476.10013
99.0,95.42675
36.0,42.486244
99.0,130.07762
78.0,74.13363
258.0,278.48624
253.0,319.27237
221.0,183.35095
322.0,170.57228
196.0,196.58583
223.0,212.4818
254.0,277.49097
152.0,180.3666
184.0,184.0294
21.0,26.168198
218.0,229.49025
257.0,281.18228
254.0,210.26051
264.0,238.6744
685.0,611.6211
212.0,180.73802
443.0,487.8311
32.0,37.766697
119.0,98.46806
29.0,54.631813
488.0,509.34424
83.0,83.51872
384.0,409.86984
13.0,9.8348875
75.0,87.59421
156.0,177.3086
420.0,426.6254
56.0,51.518066
